,data_type,nullable,primary_key,max,min,avg,stddev,varience,table_name,column_name
49,1,0,0,8.0,1.0,5.46,1.22,1.48,TB_MZ_CFZB,KFYSXM
18,1,0,0,8.0,4.0,5.86,0.96,0.92,TB_LIS_JYBG,JYYSQM
91,1,0,0,8.0,4.0,5.96,0.37,0.14,TB_MZ_SFMXB,MXXMMC
53,1,0,0,8.0,4.0,5.37,1.9,3.6,TB_MZ_CFZB,FB
24,1,0,0,8.0,4.0,5.99,0.99,0.98,TB_LIS_JYJGZB,JCRXM
119,3,0,0,7.0,7.0,7.0,0.0,0.0,TB_ZY_ZYJSB,STFSJ
87,3,1,0,7.0,7.0,7.0,0.0,0.0,TB_MZ_JZJL,FBRQSJ
88,1,0,0,7.0,1.0,7.0,0.08,0.01,TB_MZ_SFMXB,JZLSH
89,3,0,0,7.0,7.0,7.0,0.0,0.0,TB_MZ_SFMXB,SFJSSJ
81,1,0,0,7.0,7.0,7.0,0.0,0.0,TB_MZ_JZJL,JZLSH
23,3,0,0,7.0,7.0,7.0,0.0,0.0,TB_LIS_JYJGZB,BGRQ
14,3,0,0,7.0,7.0,7.0,0.0,0.0,TB_LIS_JYBG,JYRQ
76,1,0,0,7.0,1.0,7.0,0.1,0.01,TB_MZ_JSB,JZLSH
78,3,0,0,7.0,7.0,7.0,0.0,0.0,TB_MZ_JSB,FYJSSJ
102,3,0,0,7.0,7.0,7.0,0.0,0.0,TB_ZY_CYDJB,CYSJ
50,3,0,0,7.0,7.0,7.0,0.0,0.0,TB_MZ_CFZB,KFRQ
146,3,1,0,7.0,7.0,7.0,0.0,0.0,TB_ZY_ZYYZMX,YZZZSJ
145,3,1,0,7.0,7.0,7.0,0.0,0.0,TB_ZY_ZYYZMX,YZZXSJ
142,3,0,0,7.0,7.0,7.0,0.0,0.0,TB_ZY_ZYYZMX,YZXDSJ
57,1,0,0,7.0,7.0,7.0,0.0,0.0,TB_MZ_GHMXB,JZLSH
42,1,0,0,7.0,7.0,7.0,0.0,0.0,TB_MZ_CFZB,JZLSH
60,3,0,0,7.0,7.0,7.0,0.0,0.0,TB_MZ_GHMXB,GTHSJ
116,3,0,0,7.0,7.0,7.0,0.0,0.0,TB_ZY_RYDJB,RYSJ
65,3,0,0,7.0,7.0,7.0,0.0,0.0,TB_MZ_GHMXB,CSRQ
131,3,0,0,7.0,7.0,7.0,0.0,0.0,TB_ZY_ZYJZJL,CYSJ
130,3,0,0,7.0,7.0,7.0,0.0,0.0,TB_ZY_ZYJZJL,RYSJ
38,1,0,0,7.0,7.0,7.0,0.0,0.0,TB_MZ_CFMX,JZLSH
73,1,0,0,7.0,7.0,7.0,0.0,0.0,TB_MZ_JSB,JSJLID
13,3,0,0,7.0,7.0,7.0,0.0,0.0,TB_LIS_JYBG,CJRQ
12,3,0,0,7.0,7.0,7.0,0.0,0.0,TB_LIS_JYBG,SQRQ
124,1,0,0,6.0,6.0,6.0,0.0,0.0,TB_ZY_ZYJZJL,CISID
118,1,0,0,6.0,6.0,6.0,0.0,0.0,TB_ZY_ZYJSB,ZYID
109,1,0,0,6.0,4.0,5.64,0.77,0.59,TB_ZY_RYDJB,MZYSXM
10,1,0,0,6.0,4.0,5.68,0.73,0.53,TB_LIS_JYBG,BGRXM
134,1,0,0,6.0,6.0,6.0,0.0,0.0,TB_ZY_ZYYZMX,JZLSH
8,1,0,0,6.0,4.0,5.68,0.73,0.53,TB_LIS_JYBG,SQRXM
141,1,0,0,6.0,4.0,5.64,0.77,0.59,TB_ZY_ZYYZMX,XDRXM
144,1,1,0,6.0,4.0,5.45,0.89,0.8,TB_ZY_ZYYZMX,ZXRXM
4,1,0,0,6.0,3.0,3.91,0.29,0.08,TB_LIS_JYBG,BRNL
111,1,0,0,6.0,4.0,5.61,0.79,0.62,TB_ZY_RYDJB,ZYYSXM
48,1,0,0,6.0,1.0,3.87,0.63,0.4,TB_MZ_CFZB,KFYSGH
68,1,0,0,6.0,1.0,3.38,1.22,1.48,TB_MZ_GHMXB,GHYSGH
34,1,0,0,6.0,3.0,3.01,0.15,0.02,TB_LIS_YMJG,YMDM
46,1,0,0,6.0,1.0,4.12,0.97,0.94,TB_MZ_CFZB,JZKSDM
105,1,0,0,6.0,6.0,6.0,0.0,0.0,TB_ZY_RYDJB,ZYH
55,1,0,0,6.0,2.0,2.67,0.92,0.85,TB_MZ_CFZB,ZXKSBM
101,1,0,0,6.0,4.0,5.61,0.79,0.62,TB_ZY_CYDJB,ZYYSXM
97,1,0,0,6.0,6.0,6.0,0.0,0.0,TB_ZY_CYDJB,ZYH
66,1,0,0,6.0,1.0,4.25,0.66,0.43,TB_MZ_GHMXB,KSBM
83,1,0,0,6.0,4.0,4.01,0.07,0.01,TB_MZ_JZJL,ZZYSGH
6,1,1,0,5.0,1.0,1.94,0.55,0.3,TB_LIS_JYBG,CH
143,1,1,0,5.0,4.0,4.0,0.03,0.0,TB_ZY_ZYYZMX,ZXRGH
140,1,0,0,5.0,4.0,4.04,0.19,0.03,TB_ZY_ZYYZMX,XDRGH
7,1,0,0,5.0,4.0,4.0,0.02,0.0,TB_LIS_JYBG,SQRGH
9,1,0,0,5.0,4.0,4.0,0.02,0.0,TB_LIS_JYBG,BGRGH
108,1,0,0,5.0,4.0,4.0,0.01,0.0,TB_ZY_RYDJB,MZYSGH
100,1,0,0,5.0,4.0,4.0,0.06,0.0,TB_ZY_CYDJB,ZYYSGH
110,1,0,0,5.0,4.0,4.0,0.06,0.0,TB_ZY_RYDJB,ZYYSBH
114,1,1,0,5.0,2.0,4.41,0.51,0.26,TB_ZY_RYDJB,RYZDBM
33,1,0,0,4.0,3.0,3.96,0.19,0.03,TB_LIS_YMJG,XJDH
15,1,0,0,4.0,4.0,4.0,0.0,0.0,TB_LIS_JYBG,JYJSBH
19,1,0,0,4.0,4.0,4.0,0.0,0.0,TB_LIS_JYBG,BBDM
17,1,0,0,4.0,4.0,4.0,0.0,0.0,TB_LIS_JYBG,JYYSBH
36,1,0,0,4.0,1.0,3.87,0.61,0.37,TB_LIS_YMJG,JCJG
138,1,0,0,4.0,2.0,2.23,0.42,0.18,TB_ZY_ZYYZMX,XDKSBM
112,1,0,0,3.0,2.0,2.19,0.39,0.15,TB_ZY_RYDJB,RYKSBM
126,1,0,0,3.0,2.0,2.19,0.39,0.15,TB_ZY_ZYJZJL,JZKSBM
61,1,0,0,3.0,3.0,3.0,0.0,0.0,TB_MZ_GHMXB,GHLB
98,1,0,0,3.0,2.0,2.21,0.41,0.17,TB_ZY_CYDJB,CYKSBM
128,1,0,0,3.0,2.0,2.21,0.41,0.17,TB_ZY_ZYJZJL,CYKSBM
40,1,0,0,2.0,2.0,2.0,0.0,0.0,TB_MZ_CFMX,KLX
75,1,0,0,2.0,2.0,2.0,0.0,0.0,TB_MZ_JSB,KLX
149,1,1,0,2.0,1.0,1.24,0.43,0.18,TB_ZY_ZYYZMX,YYPD
52,1,0,0,2.0,2.0,2.0,0.0,0.0,TB_MZ_CFZB,HZXB
45,1,0,0,2.0,2.0,2.0,0.0,0.0,TB_MZ_CFZB,CFLX
44,1,0,0,2.0,2.0,2.0,0.0,0.0,TB_MZ_CFZB,KLX
59,1,0,0,2.0,2.0,2.0,0.0,0.0,TB_MZ_GHMXB,KLX
90,1,0,0,2.0,2.0,2.0,0.0,0.0,TB_MZ_SFMXB,MXXMBM
86,1,1,0,1.0,1.0,1.0,0.0,0.0,TB_MZ_JZJL,ZS
72,1,1,0,1.0,1.0,1.0,0.0,0.0,TB_MZ_GHMXB,GHSXH
136,1,0,0,1.0,1.0,1.0,0.0,0.0,TB_ZY_ZYYZMX,XB
148,1,0,0,1.0,1.0,1.0,0.0,0.0,TB_ZY_ZYYZMX,YZLB
62,1,0,0,1.0,1.0,1.0,0.0,0.0,TB_MZ_GHMXB,SFJZ
64,1,0,0,1.0,1.0,1.0,0.0,0.0,TB_MZ_GHMXB,XB
3,1,0,0,1.0,1.0,1.0,0.0,0.0,TB_LIS_JYBG,BRXB
107,1,0,0,1.0,1.0,1.0,0.0,0.0,TB_ZY_RYDJB,XB
71,2,0,0,0.0,0.0,0.0,0.0,0.0,TB_MZ_GHMXB,ZLF
